Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal_Price,Price_Date
1,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,30-Apr-14
2,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,29-Apr-14
3,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,29-Apr-13
4,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,28-Apr-13
5,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,27-Apr-14
6,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,27-Apr-13
7,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,26-Apr-14
8,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,26-Apr-13
9,Bhatinda,Bathinda,Wheat,Other,FAQ,1625,1625,1625,25-Apr-20
10,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,25-Apr-14
11,Bhatinda,Bathinda,Wheat,Other,FAQ,1625,1625,1625,24-Apr-20
12,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,24-Apr-14
13,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,24-Apr-13
14,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,23-Apr-13
15,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,22-Apr-13
16,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,21-Apr-13
17,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,20-Apr-13
18,Bhatinda,Bathinda,Wheat,Other,FAQ,1625,1625,1625,19-Apr-20
19,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,19-Apr-14
20,Bhatinda,Bathinda,Wheat,Other,FAQ,1625,1625,1625,18-Apr-20
21,Bhatinda,Bathinda,Wheat,Other,FAQ,1625,1625,1625,17-Apr-20
22,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,17-Apr-13
23,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,16-Apr-14
24,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,16-Apr-13
25,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,15-Apr-14
26,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,14-Apr-14
27,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,14-Apr-13
28,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,13-Apr-13
29,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,12-Apr-13
30,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,10-Apr-13
31,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,09-Apr-13
32,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,08-Apr-13
33,Bhatinda,Bathinda,Wheat,Other,FAQ,1600,1900,1700,07-Sep-13
34,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,07-Apr-13
35,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,06-Apr-13
36,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,03-May-14
37,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,02-May-14
38,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,01-May-14
39,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,30-Apr-18
40,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,30-Apr-16
41,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,30-Apr-15
42,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,30-Apr-14
43,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,29-Apr-19
44,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,29-Apr-18
45,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,29-Apr-17
46,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,29-Apr-16
47,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,29-Apr-14
48,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,28-Apr-20
49,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,28-Apr-17
50,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,28-Apr-14
51,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,28-Apr-13
52,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,27-Apr-20
53,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,27-Apr-18
54,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,27-Apr-16
55,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,27-Apr-15
56,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,27-Apr-14
57,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,27-Apr-13
58,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,26-Apr-20
59,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,26-Apr-19
60,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,26-Apr-16
61,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,26-Apr-15
62,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,26-Apr-14
63,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,26-Apr-13
64,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,25-Apr-20
65,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,25-Apr-19
66,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,25-Apr-17
67,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,25-Apr-15
68,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,25-Apr-14
69,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,24-Apr-20
70,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,24-Apr-18
71,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,24-Apr-17
72,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,24-Apr-16
73,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,24-Apr-15
74,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,24-Apr-14
75,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,23-Apr-20
76,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,23-Apr-18
77,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,23-Apr-17
78,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,23-Apr-16
79,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,23-Apr-15
80,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,23-Apr-14
81,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,23-Apr-13
82,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,22-Apr-20
83,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,22-Apr-19
84,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,22-Apr-16
85,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,22-Apr-15
86,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,22-Apr-14
87,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,21-Apr-20
88,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,21-Apr-19
89,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,21-Apr-16
90,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,21-Apr-15
91,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,21-Apr-14
92,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,21-Apr-13
93,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,20-Apr-20
