,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
558,559,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2011-04-19
34,35,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2013-04-06
33,34,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2013-04-07
31,32,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2013-04-08
971,972,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2013-04-09
29,30,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2013-04-10
1636,1637,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1100,1100,2013-04-11
960,961,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2013-04-12
957,958,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2013-04-13
1339,1340,Bhatinda,Rampuraphul(Mehraj),Wheat,Other,FAQ,1100,1100,1100,2013-04-14
950,951,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2013-04-15
1789,1790,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2013-04-16
324,325,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2013-04-17
570,571,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2013-04-18
1052,1053,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1100,1100,1100,2013-04-19
1556,1557,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1105,1100,2013-04-20
764,765,Bhatinda,Raman,Wheat,Other,FAQ,1100,1100,1100,2013-04-21
923,924,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2013-04-22
80,81,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,2013-04-23
515,516,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2013-04-24
1028,1029,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1100,1100,1100,2013-04-25
1736,1737,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2013-04-26
1495,1496,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1105,1100,2013-04-27
50,51,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,2013-04-28
475,476,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2013-04-29
468,469,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2013-04-30
1860,1861,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2013-05-01
681,682,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2013-05-02
1693,1694,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1100,1100,2013-05-03
1363,1364,Bhatinda,Rampuraphul(Mehraj),Wheat,Other,FAQ,1100,1100,1100,2013-05-04
1843,1844,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2013-05-05
138,139,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,2013-05-06
648,649,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2013-05-07
642,643,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2013-05-08
635,636,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2013-05-09
1820,1821,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2013-05-10
622,623,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2013-05-11
1808,1809,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2013-05-12
1065,1066,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1100,1100,1100,2013-05-13
951,952,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2013-05-14
591,592,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2013-05-15
582,583,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2013-05-16
105,106,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,2013-05-17
565,566,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2013-05-18
501,502,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2013-05-25
602,603,Bhatinda,Maur,Wheat,Other,FAQ,1100,1105,1100,2013-06-14
592,593,Bhatinda,Maur,Wheat,Other,FAQ,1100,1140,1100,2013-06-15
